C1, 15.39, 9.25, 0.00, 0.1uF, 0603
C15, 19.94, -15.37, 0.00, 10uF, C0805K
C16, 17.65, -17.53, 0.00, 10uF, C0805K
C17, 16.89, -14.73, 90.00, 0.1uF, C0805K
C18, 9.53, -17.65, 180.00, 0.1uF, C0805K
C19, 20.32, -4.32, 90.00, 47nF, C0805K
C2, 20.07, -13.46, 0.00, 0.1uF, C0805K
C20, 15.11, -1.14, 270.00, 10uF, C0805K
C23, 12.83, -3.81, 180.00, 0.1uF, C0805K
C24, 17.02, -1.14, 90.00, 0.1uF, C0805K
C25, 9.53, -15.75, 180.00, 10uF, C0805K
C3, 9.65, -9.65, 180.00, 10uF, C0805K
C4, 9.65, -11.68, 180.00, 0.1uF, C0805K
R1, 20.88, 8.29, 270.00, 10k, 0603
R10, 16.46, 11.96, 180.00, 300, 0805
R11, 22.48, -2.41, 90.00, 49.9K, R0603
R12, 17.65, -3.94, 0.00, 49.9K, R0603
R13, 14.86, 7.37, 0.00, 49.9K, R0603
R14, 18.16, 7.37, 180.00, 49.9K, R0603
R15, 10.54, 3.05, 270.00, 20, R0603
R16, 9.53, -4.19, 0.00, 20K, R0603
R17, 12.95, 3.05, 270.00, 100K, R0603
R18, 9.53, -6.35, 180.00, 20K, R0603
U$1, 11.74, -0.88, 90.00, ADG849THROUHG_HOLE, SOT65P210X110-6N
U1, 21.88, 14.36, 0.00, 74HC4051BQ, DHVQFN-16-2.5X3.5MM
U2, 11.11, 12.54, 90.00, 74HC4051BQ, DHVQFN-16-2.5X3.5MM
U3, 16.64, -8.90, 90.00, AD5933, SSOP16
U4, 18.04, 3.38, 180.00, AD8606, SOIC-8
U5, 13.69, -16.53, 0.00, ADP150, SOT95P280X100-5N
X1, 16.51, 18.09, 180.00, FH12-16S-0.5SH, FH12-16S-0.5SH
